Coordinates,Customer_demands,Earliest_service_time,Latest_service_time,Service_time,Vehicle_capacity
"(35.0, 35.0)",[0.0],[0.0],[1000.0],0.0,1000.0
"(41.0, 49.0)",[10.0],[451.0],[974.0],10.0,
"(35.0, 17.0)",[7.0],[18.0],[534.0],10.0,
"(55.0, 45.0)",[13.0],[378.0],[733.0],10.0,
"(55.0, 20.0)",[19.0],[477.0],[965.0],10.0,
"(15.0, 30.0)",[26.0],[20.0],[610.0],10.0,
"(25.0, 30.0)",[3.0],[245.0],[684.0],10.0,
"(20.0, 50.0)",[5.0],[172.0],[569.0],10.0,
"(10.0, 43.0)",[9.0],[245.0],[640.0],10.0,
"(55.0, 60.0)",[16.0],[231.0],[666.0],10.0,
"(30.0, 60.0)",[16.0],[430.0],[779.0],10.0,
"(20.0, 65.0)",[12.0],[33.0],[511.0],10.0,
"(50.0, 35.0)",[19.0],[50.0],[523.0],10.0,
"(30.0, 25.0)",[23.0],[462.0],[978.0],10.0,
"(15.0, 10.0)",[20.0],[32.0],[694.0],10.0,
"(30.0, 5.0)",[8.0],[30.0],[519.0],10.0,
"(10.0, 20.0)",[19.0],[102.0],[543.0],10.0,
"(5.0, 30.0)",[2.0],[444.0],[959.0],10.0,
"(20.0, 40.0)",[12.0],[229.0],[582.0],10.0,
"(15.0, 60.0)",[17.0],[95.0],[552.0],10.0,
"(45.0, 65.0)",[9.0],[418.0],[829.0],10.0,
"(45.0, 20.0)",[11.0],[36.0],[509.0],10.0,
"(45.0, 10.0)",[18.0],[246.0],[657.0],10.0,
"(55.0, 5.0)",[29.0],[36.0],[514.0],10.0,
"(65.0, 35.0)",[3.0],[435.0],[960.0],10.0,
"(65.0, 20.0)",[6.0],[438.0],[956.0],10.0,
"(45.0, 30.0)",[17.0],[428.0],[827.0],10.0,
"(35.0, 40.0)",[16.0],[5.0],[548.0],10.0,
"(41.0, 37.0)",[16.0],[6.0],[526.0],10.0,
"(64.0, 42.0)",[9.0],[29.0],[513.0],10.0,
"(40.0, 60.0)",[21.0],[91.0],[522.0],10.0,
"(31.0, 52.0)",[27.0],[17.0],[501.0],10.0,
"(35.0, 69.0)",[23.0],[482.0],[955.0],10.0,
"(53.0, 52.0)",[11.0],[24.0],[575.0],10.0,
"(65.0, 55.0)",[14.0],[367.0],[776.0],10.0,
"(63.0, 65.0)",[8.0],[453.0],[948.0],10.0,
"(2.0, 60.0)",[5.0],[41.0],[615.0],10.0,
"(20.0, 20.0)",[8.0],[443.0],[856.0],10.0,
"(5.0, 5.0)",[16.0],[130.0],[577.0],10.0,
"(60.0, 12.0)",[31.0],[33.0],[655.0],10.0,
"(40.0, 25.0)",[9.0],[201.0],[596.0],10.0,
"(42.0, 7.0)",[5.0],[219.0],[688.0],10.0,
"(24.0, 12.0)",[5.0],[25.0],[560.0],10.0,
"(23.0, 3.0)",[7.0],[458.0],[867.0],10.0,
"(11.0, 14.0)",[18.0],[59.0],[514.0],10.0,
"(6.0, 38.0)",[16.0],[29.0],[589.0],10.0,
"(2.0, 48.0)",[1.0],[338.0],[805.0],10.0,
"(8.0, 56.0)",[27.0],[34.0],[602.0],10.0,
"(13.0, 52.0)",[36.0],[454.0],[962.0],10.0,
"(6.0, 68.0)",[30.0],[362.0],[679.0],10.0,
"(47.0, 47.0)",[13.0],[379.0],[810.0],10.0,
"(49.0, 58.0)",[10.0],[176.0],[625.0],10.0,
"(27.0, 43.0)",[9.0],[11.0],[502.0],10.0,
"(37.0, 31.0)",[14.0],[256.0],[647.0],10.0,
"(57.0, 29.0)",[18.0],[475.0],[900.0],10.0,
"(63.0, 23.0)",[2.0],[441.0],[918.0],10.0,
"(53.0, 12.0)",[6.0],[412.0],[865.0],10.0,
"(32.0, 12.0)",[7.0],[246.0],[705.0],10.0,
"(36.0, 26.0)",[18.0],[479.0],[980.0],10.0,
"(21.0, 24.0)",[28.0],[17.0],[681.0],10.0,
"(17.0, 34.0)",[3.0],[449.0],[971.0],10.0,
"(12.0, 24.0)",[13.0],[126.0],[541.0],10.0,
"(24.0, 58.0)",[19.0],[25.0],[544.0],10.0,
"(27.0, 69.0)",[10.0],[34.0],[588.0],10.0,
"(15.0, 77.0)",[9.0],[46.0],[524.0],10.0,
"(62.0, 77.0)",[20.0],[49.0],[568.0],10.0,
"(49.0, 73.0)",[25.0],[421.0],[864.0],10.0,
"(67.0, 5.0)",[25.0],[120.0],[575.0],10.0,
"(56.0, 39.0)",[36.0],[459.0],[930.0],10.0,
"(37.0, 47.0)",[6.0],[12.0],[513.0],10.0,
"(37.0, 56.0)",[5.0],[368.0],[968.0],10.0,
"(57.0, 68.0)",[15.0],[98.0],[537.0],10.0,
"(47.0, 16.0)",[25.0],[22.0],[617.0],10.0,
"(44.0, 17.0)",[9.0],[143.0],[564.0],10.0,
"(46.0, 13.0)",[8.0],[482.0],[965.0],10.0,
